,Total Usage,Sector,County,Year,Usage
74,40457.233604,Residential,SAN FRANCISCO,1990,1218.10055
73,167312.320901,Residential,SAN DIEGO,1990,5204.506395
72,546593.9385350001,Residential,LOS ANGELES,1990,16960.720058000003
71,40457.233604,Residential,SAN FRANCISCO,1991,1244.609201
70,167312.320901,Residential,SAN DIEGO,1991,4879.208742
69,546593.9385350001,Residential,LOS ANGELES,1991,16310.884065
68,40457.233604,Residential,SAN FRANCISCO,1992,1210.064743
67,167312.320901,Residential,SAN DIEGO,1992,5120.24095
66,546593.9385350001,Residential,LOS ANGELES,1992,16377.794988999998
65,40457.233604,Residential,SAN FRANCISCO,1993,1252.797683
64,167312.320901,Residential,SAN DIEGO,1993,5062.419031
63,546593.9385350001,Residential,LOS ANGELES,1993,15759.083037999999
62,40457.233604,Residential,SAN FRANCISCO,1994,1257.32892
61,167312.320901,Residential,SAN DIEGO,1994,5218.545736
60,546593.9385350001,Residential,LOS ANGELES,1994,16065.583395
59,40457.233604,Residential,SAN FRANCISCO,1995,1280.02107
58,167312.320901,Residential,SAN DIEGO,1995,5213.745075
57,546593.9385350001,Residential,LOS ANGELES,1995,16823.635934
54,546593.9385350001,Residential,LOS ANGELES,1996,16322.056869
56,40457.233604,Residential,SAN FRANCISCO,1996,1273.247416
55,167312.320901,Residential,SAN DIEGO,1996,5385.364689
52,167312.320901,Residential,SAN DIEGO,1997,5530.367207
51,546593.9385350001,Residential,LOS ANGELES,1997,17578.672243
53,40457.233604,Residential,SAN FRANCISCO,1997,1315.521931
50,40457.233604,Residential,SAN FRANCISCO,1998,1355.940433
49,167312.320901,Residential,SAN DIEGO,1998,5713.605775999999
48,546593.9385350001,Residential,LOS ANGELES,1998,17234.648178
47,40457.233604,Residential,SAN FRANCISCO,1999,1431.177195
45,546593.9385350001,Residential,LOS ANGELES,1999,17665.183612
46,167312.320901,Residential,SAN DIEGO,1999,3281.04237
44,40457.233604,Residential,SAN FRANCISCO,2000,1414.793006
43,167312.320901,Residential,SAN DIEGO,2000,3537.365305
42,546593.9385350001,Residential,LOS ANGELES,2000,18891.733869
41,40457.233604,Residential,SAN FRANCISCO,2001,1345.679951
40,167312.320901,Residential,SAN DIEGO,2001,3567.008182
39,546593.9385350001,Residential,LOS ANGELES,2001,18212.698665
38,40457.233604,Residential,SAN FRANCISCO,2002,1365.841193
37,167312.320901,Residential,SAN DIEGO,2002,4045.959496
36,546593.9385350001,Residential,LOS ANGELES,2002,17917.928809
35,40457.233604,Residential,SAN FRANCISCO,2003,1363.83567
34,167312.320901,Residential,SAN DIEGO,2003,4820.226181
33,546593.9385350001,Residential,LOS ANGELES,2003,19056.852284
32,40457.233604,Residential,SAN FRANCISCO,2004,1381.327792
31,167312.320901,Residential,SAN DIEGO,2004,5858.415539
30,546593.9385350001,Residential,LOS ANGELES,2004,19507.88669
29,40457.233604,Residential,SAN FRANCISCO,2005,1444.507747
28,167312.320901,Residential,SAN DIEGO,2005,6325.460914
27,546593.9385350001,Residential,LOS ANGELES,2005,19711.894073
24,546593.9385350001,Residential,LOS ANGELES,2006,20378.138002
26,40457.233604,Residential,SAN FRANCISCO,2006,1491.207341
25,167312.320901,Residential,SAN DIEGO,2006,6713.7074299999995
23,40457.233604,Residential,SAN FRANCISCO,2007,1467.618951
22,167312.320901,Residential,SAN DIEGO,2007,6745.127186
21,546593.9385350001,Residential,LOS ANGELES,2007,20537.017828
20,40457.233604,Residential,SAN FRANCISCO,2008,1484.3325619999998
19,167312.320901,Residential,SAN DIEGO,2008,6909.270023
18,546593.9385350001,Residential,LOS ANGELES,2008,21118.10089
15,546593.9385350001,Residential,LOS ANGELES,2009,20594.680058
17,40457.233604,Residential,SAN FRANCISCO,2009,1501.387452
16,167312.320901,Residential,SAN DIEGO,2009,6781.793216
14,40457.233604,Residential,SAN FRANCISCO,2010,1518.3749369999998
13,167312.320901,Residential,SAN DIEGO,2010,6617.350246
12,546593.9385350001,Residential,LOS ANGELES,2010,19726.423728
11,40457.233604,Residential,SAN FRANCISCO,2011,1524.582029
10,167312.320901,Residential,SAN DIEGO,2011,6681.917726
9,546593.9385350001,Residential,LOS ANGELES,2011,20069.358771
8,40457.233604,Residential,SAN FRANCISCO,2012,1512.245494
7,167312.320901,Residential,SAN DIEGO,2012,6902.840388
6,546593.9385350001,Residential,LOS ANGELES,2012,21082.236291999998
5,40457.233604,Residential,SAN FRANCISCO,2013,1502.763077
4,167312.320901,Residential,SAN DIEGO,2013,6796.14887
3,546593.9385350001,Residential,LOS ANGELES,2013,20620.155129
2,40457.233604,Residential,SAN FRANCISCO,2014,1440.433202
1,167312.320901,Residential,SAN DIEGO,2014,6859.133038
0,546593.9385350001,Residential,LOS ANGELES,2014,20752.656423
